ma_lich,ma_san_pham,ngay_khoi_hanh,tong_cho,da_dat,con_lai,trang_thai
LKD000465,SP0033,2026-02-19,16,0,16,mo_ban
LKD000466,SP0033,2026-02-24,16,14,2,mo_ban
LKD000467,SP0033,2026-03-01,16,9,7,mo_ban
LKD000468,SP0034,2026-01-05,15,8,7,mo_ban
LKD000469,SP0034,2026-01-09,15,15,0,het_cho
LKD000470,SP0034,2026-01-13,15,14,1,mo_ban
LKD000471,SP0034,2026-01-17,15,10,5,mo_ban
LKD000472,SP0034,2026-01-21,15,8,7,mo_ban
LKD000473,SP0034,2026-01-25,15,8,7,mo_ban
LKD000474,SP0034,2026-01-29,15,3,12,mo_ban
LKD000475,SP0034,2026-02-02,15,11,4,mo_ban
LKD000476,SP0034,2026-02-06,15,5,10,mo_ban
LKD000477,SP0034,2026-02-10,15,13,2,mo_ban
LKD000478,SP0034,2026-02-14,15,0,15,mo_ban
LKD000479,SP0034,2026-02-18,15,8,7,mo_ban
LKD000480,SP0034,2026-02-22,15,9,6,mo_ban
LKD000481,SP0034,2026-02-26,15,0,15,mo_ban
LKD000482,SP0034,2026-03-02,15,4,11,mo_ban
LKD000483,SP0035,2026-01-05,16,16,0,het_cho
LKD000484,SP0035,2026-01-09,16,13,3,mo_ban
LKD000485,SP0035,2026-01-13,16,6,10,mo_ban
LKD000486,SP0035,2026-01-17,16,11,5,mo_ban
LKD000487,SP0035,2026-01-21,16,16,0,het_cho
LKD000488,SP0035,2026-01-25,16,9,7,mo_ban
LKD000489,SP0035,2026-01-29,16,13,3,mo_ban
LKD000490,SP0035,2026-02-02,16,3,13,mo_ban
LKD000491,SP0035,2026-02-06,16,13,3,mo_ban
LKD000492,SP0035,2026-02-10,16,1,15,mo_ban
LKD000493,SP0035,2026-02-14,16,10,6,mo_ban
LKD000494,SP0035,2026-02-18,16,14,2,mo_ban
LKD000495,SP0035,2026-02-22,16,4,12,mo_ban
LKD000496,SP0035,2026-02-26,16,8,8,mo_ban
LKD000497,SP0035,2026-03-02,16,12,4,mo_ban
LKD000498,SP0036,2026-01-05,25,24,1,mo_ban
LKD000499,SP0036,2026-01-08,25,9,16,mo_ban
LKD000500,SP0036,2026-01-11,25,1,24,mo_ban
LKD000501,SP0036,2026-01-14,25,20,5,mo_ban
LKD000502,SP0036,2026-01-17,25,20,5,mo_ban
LKD000503,SP0036,2026-01-20,25,16,9,mo_ban
LKD000504,SP0036,2026-01-23,25,2,23,mo_ban
LKD000505,SP0036,2026-01-26,25,5,20,mo_ban
LKD000506,SP0036,2026-01-29,25,0,25,mo_ban
LKD000507,SP0036,2026-02-01,25,1,24,mo_ban
LKD000508,SP0036,2026-02-04,25,5,20,mo_ban
LKD000509,SP0036,2026-02-07,25,5,20,mo_ban
LKD000510,SP0036,2026-02-10,25,16,9,mo_ban
LKD000511,SP0036,2026-02-13,25,14,11,mo_ban
LKD000512,SP0036,2026-02-16,25,8,17,mo_ban
LKD000513,SP0036,2026-02-19,25,22,3,mo_ban
LKD000514,SP0036,2026-02-22,25,25,0,het_cho
LKD000515,SP0036,2026-02-25,25,13,12,mo_ban
LKD000516,SP0036,2026-02-28,25,15,10,mo_ban
LKD000517,SP0036,2026-03-03,25,2,23,mo_ban
LKD000518,SP0037,2026-01-05,10,10,0,het_cho
LKD000519,SP0037,2026-01-09,10,5,5,mo_ban
LKD000520,SP0037,2026-01-13,10,6,4,mo_ban
LKD000521,SP0037,2026-01-17,10,2,8,mo_ban
LKD000522,SP0037,2026-01-21,10,6,4,mo_ban
LKD000523,SP0037,2026-01-25,10,2,8,mo_ban
LKD000524,SP0037,2026-01-29,10,7,3,mo_ban
LKD000525,SP0037,2026-02-02,10,3,7,mo_ban
LKD000526,SP0037,2026-02-06,10,9,1,mo_ban
LKD000527,SP0037,2026-02-10,10,4,6,mo_ban
LKD000528,SP0037,2026-02-14,10,0,10,mo_ban
LKD000529,SP0037,2026-02-18,10,4,6,mo_ban
LKD000530,SP0037,2026-02-22,10,0,10,mo_ban
LKD000531,SP0037,2026-02-26,10,9,1,mo_ban
LKD000532,SP0037,2026-03-02,10,10,0,het_cho
LKD000533,SP0038,2026-01-05,15,14,1,mo_ban
LKD000534,SP0038,2026-01-09,15,12,3,mo_ban
LKD000535,SP0038,2026-01-13,15,5,10,mo_ban
LKD000536,SP0038,2026-01-17,15,6,9,mo_ban
LKD000537,SP0038,2026-01-21,15,14,1,mo_ban
LKD000538,SP0038,2026-01-25,15,1,14,mo_ban
LKD000539,SP0038,2026-01-29,15,11,4,mo_ban
LKD000540,SP0038,2026-02-02,15,11,4,mo_ban
LKD000541,SP0038,2026-02-06,15,8,7,mo_ban
LKD000542,SP0038,2026-02-10,15,4,11,mo_ban
LKD000543,SP0038,2026-02-14,15,10,5,mo_ban
LKD000544,SP0038,2026-02-18,15,8,7,mo_ban
LKD000545,SP0038,2026-02-22,15,2,13,mo_ban
LKD000546,SP0038,2026-02-26,15,15,0,het_cho
LKD000547,SP0038,2026-03-02,15,7,8,mo_ban
LKD000548,SP0039,2026-01-05,8,2,6,mo_ban
LKD000549,SP0039,2026-01-08,8,8,0,het_cho
LKD000550,SP0039,2026-01-11,8,2,6,mo_ban
LKD000551,SP0039,2026-01-14,8,5,3,mo_ban
LKD000552,SP0039,2026-01-17,8,3,5,mo_ban
LKD000553,SP0039,2026-01-20,8,6,2,mo_ban
LKD000554,SP0039,2026-01-23,8,6,2,mo_ban
LKD000555,SP0039,2026-01-26,8,6,2,mo_ban
LKD000556,SP0039,2026-01-29,8,0,8,mo_ban
LKD000557,SP0039,2026-02-01,8,0,8,mo_ban
LKD000558,SP0039,2026-02-04,8,3,5,mo_ban
LKD000559,SP0039,2026-02-07,8,2,6,mo_ban
LKD000560,SP0039,2026-02-10,8,6,2,mo_ban
LKD000561,SP0039,2026-02-13,8,3,5,mo_ban
LKD000562,SP0039,2026-02-16,8,7,1,mo_ban
LKD000563,SP0039,2026-02-19,8,2,6,mo_ban
LKD000564,SP0039,2026-02-22,8,0,8,mo_ban
LKD000565,SP0039,2026-02-25,8,3,5,mo_ban
LKD000566,SP0039,2026-02-28,8,1,7,mo_ban
LKD000567,SP0039,2026-03-03,8,0,8,mo_ban
LKD000568,SP0040,2026-01-05,400,170,230,mo_ban
LKD000569,SP0040,2026-01-09,400,325,75,mo_ban
LKD000570,SP0040,2026-01-13,400,106,294,mo_ban
LKD000571,SP0040,2026-01-17,400,239,161,mo_ban
LKD000572,SP0040,2026-01-21,400,40,360,mo_ban
LKD000573,SP0040,2026-01-25,400,337,63,mo_ban
LKD000574,SP0040,2026-01-29,400,400,0,het_cho
LKD000575,SP0040,2026-02-02,400,112,288,mo_ban
LKD000576,SP0040,2026-02-06,400,182,218,mo_ban
LKD000577,SP0040,2026-02-10,400,284,116,mo_ban
LKD000578,SP0040,2026-02-14,400,105,295,mo_ban
LKD000579,SP0040,2026-02-18,400,181,219,mo_ban
LKD000580,SP0040,2026-02-22,400,275,125,mo_ban
LKD000581,SP0040,2026-02-26,400,280,120,mo_ban
LKD000582,SP0040,2026-03-02,400,378,22,mo_ban
LKD000583,SP0041,2026-01-05,8,7,1,mo_ban
LKD000584,SP0041,2026-01-08,8,7,1,mo_ban
LKD000585,SP0041,2026-01-11,8,0,8,mo_ban
LKD000586,SP0041,2026-01-14,8,6,2,mo_ban
LKD000587,SP0041,2026-01-17,8,5,3,mo_ban
LKD000588,SP0041,2026-01-20,8,6,2,mo_ban
LKD000589,SP0041,2026-01-23,8,5,3,mo_ban
LKD000590,SP0041,2026-01-26,8,8,0,het_cho
LKD000591,SP0041,2026-01-29,8,2,6,mo_ban
LKD000592,SP0041,2026-02-01,8,0,8,mo_ban
LKD000593,SP0041,2026-02-04,8,1,7,mo_ban
LKD000594,SP0041,2026-02-07,8,7,1,mo_ban
LKD000595,SP0041,2026-02-10,8,8,0,het_cho
LKD000596,SP0041,2026-02-13,8,0,8,mo_ban
LKD000597,SP0041,2026-02-16,8,4,4,mo_ban
LKD000598,SP0041,2026-02-19,8,4,4,mo_ban
LKD000599,SP0041,2026-02-22,8,7,1,mo_ban
LKD000600,SP0041,2026-02-25,8,0,8,mo_ban
LKD000601,SP0041,2026-02-28,8,5,3,mo_ban
LKD000602,SP0041,2026-03-03,8,0,8,mo_ban
LKD000603,SP0042,2026-01-05,10,1,9,mo_ban
LKD000604,SP0042,2026-01-10,10,4,6,mo_ban
LKD000605,SP0042,2026-01-15,10,3,7,mo_ban
LKD000606,SP0042,2026-01-20,10,3,7,mo_ban
LKD000607,SP0042,2026-01-25,10,3,7,mo_ban
LKD000608,SP0042,2026-01-30,10,4,6,mo_ban
LKD000609,SP0042,2026-02-04,10,6,4,mo_ban
LKD000610,SP0042,2026-02-09,10,9,1,mo_ban
LKD000611,SP0042,2026-02-14,10,0,10,mo_ban
LKD000612,SP0042,2026-02-19,10,6,4,mo_ban
LKD000613,SP0042,2026-02-24,10,8,2,mo_ban
LKD000614,SP0042,2026-03-01,10,6,4,mo_ban
LKD000615,SP0043,2026-01-05,6,5,1,mo_ban
LKD000616,SP0043,2026-01-08,6,1,5,mo_ban
LKD000617,SP0043,2026-01-11,6,1,5,mo_ban
LKD000618,SP0043,2026-01-14,6,1,5,mo_ban
LKD000619,SP0043,2026-01-17,6,4,2,mo_ban
LKD000620,SP0043,2026-01-20,6,5,1,mo_ban
LKD000621,SP0043,2026-01-23,6,2,4,mo_ban
LKD000622,SP0043,2026-01-26,6,5,1,mo_ban
LKD000623,SP0043,2026-01-29,6,0,6,mo_ban
LKD000624,SP0043,2026-02-01,6,4,2,mo_ban
LKD000625,SP0043,2026-02-04,6,4,2,mo_ban
LKD000626,SP0043,2026-02-07,6,3,3,mo_ban
LKD000627,SP0043,2026-02-10,6,5,1,mo_ban
LKD000628,SP0043,2026-02-13,6,0,6,mo_ban
LKD000629,SP0043,2026-02-16,6,1,5,mo_ban
LKD000630,SP0043,2026-02-19,6,1,5,mo_ban
LKD000631,SP0043,2026-02-22,6,3,3,mo_ban
LKD000632,SP0043,2026-02-25,6,4,2,mo_ban
LKD000633,SP0043,2026-02-28,6,2,4,mo_ban
LKD000634,SP0043,2026-03-03,6,2,4,mo_ban
LKD000635,SP0044,2026-01-05,4,4,0,het_cho
LKD000636,SP0044,2026-01-08,4,0,4,mo_ban
LKD000637,SP0044,2026-01-11,4,0,4,mo_ban
LKD000638,SP0044,2026-01-14,4,4,0,het_cho
LKD000639,SP0044,2026-01-17,4,1,3,mo_ban
LKD000640,SP0044,2026-01-20,4,0,4,mo_ban
LKD000641,SP0044,2026-01-23,4,1,3,mo_ban
LKD000642,SP0044,2026-01-26,4,1,3,mo_ban
LKD000643,SP0044,2026-01-29,4,1,3,mo_ban
LKD000644,SP0044,2026-02-01,4,0,4,mo_ban
LKD000645,SP0044,2026-02-04,4,0,4,mo_ban
LKD000646,SP0044,2026-02-07,4,4,0,het_cho
LKD000647,SP0044,2026-02-10,4,0,4,mo_ban
LKD000648,SP0044,2026-02-13,4,0,4,mo_ban
LKD000649,SP0044,2026-02-16,4,3,1,mo_ban
LKD000650,SP0044,2026-02-19,4,0,4,mo_ban
LKD000651,SP0044,2026-02-22,4,3,1,mo_ban
LKD000652,SP0044,2026-02-25,4,3,1,mo_ban
LKD000653,SP0044,2026-02-28,4,1,3,mo_ban
LKD000654,SP0044,2026-03-03,4,1,3,mo_ban
LKD000655,SP0045,2026-01-05,2,0,2,mo_ban
LKD000656,SP0045,2026-01-08,2,0,2,mo_ban
LKD000657,SP0045,2026-01-11,2,0,2,mo_ban
LKD000658,SP0045,2026-01-14,2,0,2,mo_ban
LKD000659,SP0045,2026-01-17,2,0,2,mo_ban
LKD000660,SP0045,2026-01-20,2,1,1,mo_ban
LKD000661,SP0045,2026-01-23,2,0,2,mo_ban
LKD000662,SP0045,2026-01-26,2,1,1,mo_ban
LKD000663,SP0045,2026-01-29,2,1,1,mo_ban
LKD000664,SP0045,2026-02-01,2,2,0,het_cho
LKD000665,SP0045,2026-02-04,2,2,0,het_cho
LKD000666,SP0045,2026-02-07,2,2,0,het_cho
LKD000667,SP0045,2026-02-10,2,1,1,mo_ban
LKD000668,SP0045,2026-02-13,2,1,1,mo_ban
LKD000669,SP0045,2026-02-16,2,2,0,het_cho
LKD000670,SP0045,2026-02-19,2,2,0,het_cho
LKD000671,SP0045,2026-02-22,2,1,1,mo_ban
LKD000672,SP0045,2026-02-25,2,1,1,mo_ban
LKD000673,SP0045,2026-02-28,2,2,0,het_cho
LKD000674,SP0045,2026-03-03,2,1,1,mo_ban
LKD000675,SP0046,2026-01-05,400,347,53,mo_ban
LKD000676,SP0046,2026-01-08,400,193,207,mo_ban
LKD000677,SP0046,2026-01-11,400,8,392,mo_ban
LKD000678,SP0046,2026-01-14,400,82,318,mo_ban
LKD000679,SP0046,2026-01-17,400,185,215,mo_ban
LKD000680,SP0046,2026-01-20,400,343,57,mo_ban
LKD000681,SP0046,2026-01-23,400,277,123,mo_ban
LKD000682,SP0046,2026-01-26,400,113,287,mo_ban
LKD000683,SP0046,2026-01-29,400,137,263,mo_ban
LKD000684,SP0046,2026-02-01,400,357,43,mo_ban
LKD000685,SP0046,2026-02-04,400,149,251,mo_ban
LKD000686,SP0046,2026-02-07,400,325,75,mo_ban
LKD000687,SP0046,2026-02-10,400,35,365,mo_ban
LKD000688,SP0046,2026-02-13,400,244,156,mo_ban
LKD000689,SP0046,2026-02-16,400,126,274,mo_ban
LKD000690,SP0046,2026-02-19,400,211,189,mo_ban
LKD000691,SP0046,2026-02-22,400,145,255,mo_ban
LKD000692,SP0046,2026-02-25,400,341,59,mo_ban
LKD000693,SP0046,2026-02-28,400,125,275,mo_ban
LKD000694,SP0046,2026-03-03,400,4,396,mo_ban
LKD000695,SP0047,2026-01-05,8,6,2,mo_ban
LKD000696,SP0047,2026-01-08,8,0,8,mo_ban
LKD000697,SP0047,2026-01-11,8,1,7,mo_ban
LKD000698,SP0047,2026-01-14,8,8,0,het_cho
LKD000699,SP0047,2026-01-17,8,5,3,mo_ban
LKD000700,SP0047,2026-01-20,8,8,0,het_cho
LKD000701,SP0047,2026-01-23,8,0,8,mo_ban
LKD000702,SP0047,2026-01-26,8,2,6,mo_ban
LKD000703,SP0047,2026-01-29,8,8,0,het_cho
LKD000704,SP0047,2026-02-01,8,2,6,mo_ban
LKD000705,SP0047,2026-02-04,8,7,1,mo_ban
LKD000706,SP0047,2026-02-07,8,6,2,mo_ban
LKD000707,SP0047,2026-02-10,8,7,1,mo_ban
LKD000708,SP0047,2026-02-13,8,5,3,mo_ban
LKD000709,SP0047,2026-02-16,8,8,0,het_cho
LKD000710,SP0047,2026-02-19,8,3,5,mo_ban
LKD000711,SP0047,2026-02-22,8,2,6,mo_ban
LKD000712,SP0047,2026-02-25,8,5,3,mo_ban
LKD000713,SP0047,2026-02-28,8,0,8,mo_ban
LKD000714,SP0047,2026-03-03,8,0,8,mo_ban
LKD000715,SP0048,2026-01-05,6,2,4,mo_ban
LKD000716,SP0048,2026-01-10,6,5,1,mo_ban
LKD000717,SP0048,2026-01-15,6,5,1,mo_ban
LKD000718,SP0048,2026-01-20,6,3,3,mo_ban
LKD000719,SP0048,2026-01-25,6,3,3,mo_ban
LKD000720,SP0048,2026-01-30,6,3,3,mo_ban
LKD000721,SP0048,2026-02-04,6,4,2,mo_ban
LKD000722,SP0048,2026-02-09,6,5,1,mo_ban
LKD000723,SP0048,2026-02-14,6,4,2,mo_ban
LKD000724,SP0048,2026-02-19,6,5,1,mo_ban
LKD000725,SP0048,2026-02-24,6,4,2,mo_ban
LKD000726,SP0048,2026-03-01,6,4,2,mo_ban
LKD000727,SP0049,2026-01-05,20,16,4,mo_ban
LKD000728,SP0049,2026-01-09,20,12,8,mo_ban
LKD000729,SP0049,2026-01-13,20,15,5,mo_ban
LKD000730,SP0049,2026-01-17,20,11,9,mo_ban
LKD000731,SP0049,2026-01-21,20,13,7,mo_ban
LKD000732,SP0049,2026-01-25,20,11,9,mo_ban
LKD000733,SP0049,2026-01-29,20,16,4,mo_ban
LKD000734,SP0049,2026-02-02,20,1,19,mo_ban
LKD000735,SP0049,2026-02-06,20,14,6,mo_ban
LKD000736,SP0049,2026-02-10,20,8,12,mo_ban
LKD000737,SP0049,2026-02-14,20,2,18,mo_ban
LKD000738,SP0049,2026-02-18,20,10,10,mo_ban
LKD000739,SP0049,2026-02-22,20,19,1,mo_ban
LKD000740,SP0049,2026-02-26,20,3,17,mo_ban
LKD000741,SP0049,2026-03-02,20,7,13,mo_ban
LKD000742,SP0050,2026-01-05,8,0,8,mo_ban
LKD000743,SP0050,2026-01-08,8,6,2,mo_ban
LKD000744,SP0050,2026-01-11,8,4,4,mo_ban
LKD000745,SP0050,2026-01-14,8,5,3,mo_ban
LKD000746,SP0050,2026-01-17,8,8,0,het_cho
LKD000747,SP0050,2026-01-20,8,6,2,mo_ban
LKD000748,SP0050,2026-01-23,8,0,8,mo_ban
LKD000749,SP0050,2026-01-26,8,0,8,mo_ban
LKD000750,SP0050,2026-01-29,8,0,8,mo_ban
LKD000751,SP0050,2026-02-01,8,1,7,mo_ban
LKD000752,SP0050,2026-02-04,8,3,5,mo_ban
LKD000753,SP0050,2026-02-07,8,6,2,mo_ban
LKD000754,SP0050,2026-02-10,8,6,2,mo_ban
LKD000755,SP0050,2026-02-13,8,4,4,mo_ban
LKD000756,SP0050,2026-02-16,8,3,5,mo_ban
LKD000757,SP0050,2026-02-19,8,0,8,mo_ban
LKD000758,SP0050,2026-02-22,8,5,3,mo_ban
LKD000759,SP0050,2026-02-25,8,2,6,mo_ban
LKD000760,SP0050,2026-02-28,8,2,6,mo_ban
LKD000761,SP0050,2026-03-03,8,5,3,mo_ban
LKD000762,SP0051,2026-01-05,8,1,7,mo_ban
LKD000763,SP0051,2026-01-08,8,0,8,mo_ban
LKD000764,SP0051,2026-01-11,8,8,0,het_cho
LKD000765,SP0051,2026-01-14,8,5,3,mo_ban
LKD000766,SP0051,2026-01-17,8,3,5,mo_ban
LKD000767,SP0051,2026-01-20,8,0,8,mo_ban
LKD000768,SP0051,2026-01-23,8,7,1,mo_ban
LKD000769,SP0051,2026-01-26,8,7,1,mo_ban
LKD000770,SP0051,2026-01-29,8,2,6,mo_ban
LKD000771,SP0051,2026-02-01,8,6,2,mo_ban
LKD000772,SP0051,2026-02-04,8,4,4,mo_ban
LKD000773,SP0051,2026-02-07,8,6,2,mo_ban
LKD000774,SP0051,2026-02-10,8,7,1,mo_ban
LKD000775,SP0051,2026-02-13,8,3,5,mo_ban
LKD000776,SP0051,2026-02-16,8,3,5,mo_ban
LKD000777,SP0051,2026-02-19,8,0,8,mo_ban
LKD000778,SP0051,2026-02-22,8,4,4,mo_ban
LKD000779,SP0051,2026-02-25,8,2,6,mo_ban
LKD000780,SP0051,2026-02-28,8,8,0,het_cho
LKD000781,SP0051,2026-03-03,8,3,5,mo_ban
LKD000782,SP0052,2026-01-05,4,4,0,het_cho
LKD000783,SP0052,2026-01-09,4,3,1,mo_ban
LKD000784,SP0052,2026-01-13,4,0,4,mo_ban
LKD000785,SP0052,2026-01-17,4,3,1,mo_ban
LKD000786,SP0052,2026-01-21,4,3,1,mo_ban
LKD000787,SP0052,2026-01-25,4,2,2,mo_ban
LKD000788,SP0052,2026-01-29,4,1,3,mo_ban
LKD000789,SP0052,2026-02-02,4,3,1,mo_ban
LKD000790,SP0052,2026-02-06,4,2,2,mo_ban
LKD000791,SP0052,2026-02-10,4,1,3,mo_ban
LKD000792,SP0052,2026-02-14,4,0,4,mo_ban
LKD000793,SP0052,2026-02-18,4,0,4,mo_ban
LKD000794,SP0052,2026-02-22,4,0,4,mo_ban
LKD000795,SP0052,2026-02-26,4,2,2,mo_ban
LKD000796,SP0052,2026-03-02,4,4,0,het_cho
LKD000797,SP0053,2026-01-05,20,17,3,mo_ban
LKD000798,SP0053,2026-01-10,20,10,10,mo_ban
LKD000799,SP0053,2026-01-15,20,0,20,mo_ban
LKD000800,SP0053,2026-01-20,20,0,20,mo_ban
LKD000801,SP0053,2026-01-25,20,5,15,mo_ban
LKD000802,SP0053,2026-01-30,20,3,17,mo_ban
LKD000803,SP0053,2026-02-04,20,14,6,mo_ban
LKD000804,SP0053,2026-02-09,20,1,19,mo_ban
LKD000805,SP0053,2026-02-14,20,5,15,mo_ban
LKD000806,SP0053,2026-02-19,20,4,16,mo_ban
LKD000807,SP0053,2026-02-24,20,13,7,mo_ban
LKD000808,SP0053,2026-03-01,20,4,16,mo_ban
LKD000809,SP0054,2026-01-05,6,0,6,mo_ban
LKD000810,SP0054,2026-01-08,6,3,3,mo_ban
LKD000811,SP0054,2026-01-11,6,0,6,mo_ban
LKD000812,SP0054,2026-01-14,6,0,6,mo_ban
LKD000813,SP0054,2026-01-17,6,1,5,mo_ban
LKD000814,SP0054,2026-01-20,6,2,4,mo_ban
LKD000815,SP0054,2026-01-23,6,6,0,het_cho
LKD000816,SP0054,2026-01-26,6,1,5,mo_ban
LKD000817,SP0054,2026-01-29,6,3,3,mo_ban
LKD000818,SP0054,2026-02-01,6,1,5,mo_ban
LKD000819,SP0054,2026-02-04,6,6,0,het_cho
LKD000820,SP0054,2026-02-07,6,6,0,het_cho
LKD000821,SP0054,2026-02-10,6,4,2,mo_ban
LKD000822,SP0054,2026-02-13,6,1,5,mo_ban
LKD000823,SP0054,2026-02-16,6,3,3,mo_ban
LKD000824,SP0054,2026-02-19,6,0,6,mo_ban
LKD000825,SP0054,2026-02-22,6,2,4,mo_ban
LKD000826,SP0054,2026-02-25,6,0,6,mo_ban
LKD000827,SP0054,2026-02-28,6,1,5,mo_ban
LKD000828,SP0054,2026-03-03,6,4,2,mo_ban
LKD000829,SP0055,2026-01-05,20,5,15,mo_ban
LKD000830,SP0055,2026-01-08,20,13,7,mo_ban
LKD000831,SP0055,2026-01-11,20,13,7,mo_ban
LKD000832,SP0055,2026-01-14,20,18,2,mo_ban
LKD000833,SP0055,2026-01-17,20,20,0,het_cho
LKD000834,SP0055,2026-01-20,20,9,11,mo_ban
LKD000835,SP0055,2026-01-23,20,16,4,mo_ban
LKD000836,SP0055,2026-01-26,20,14,6,mo_ban
LKD000837,SP0055,2026-01-29,20,11,9,mo_ban
LKD000838,SP0055,2026-02-01,20,13,7,mo_ban
LKD000839,SP0055,2026-02-04,20,16,4,mo_ban
LKD000840,SP0055,2026-02-07,20,15,5,mo_ban
LKD000841,SP0055,2026-02-10,20,16,4,mo_ban
LKD000842,SP0055,2026-02-13,20,9,11,mo_ban
LKD000843,SP0055,2026-02-16,20,1,19,mo_ban
LKD000844,SP0055,2026-02-19,20,6,14,mo_ban
LKD000845,SP0055,2026-02-22,20,3,17,mo_ban
LKD000846,SP0055,2026-02-25,20,0,20,mo_ban
LKD000847,SP0055,2026-02-28,20,10,10,mo_ban
LKD000848,SP0055,2026-03-03,20,16,4,mo_ban
LKD000849,SP0056,2026-01-05,4,2,2,mo_ban
LKD000850,SP0056,2026-01-10,4,3,1,mo_ban
LKD000851,SP0056,2026-01-15,4,1,3,mo_ban
LKD000852,SP0056,2026-01-20,4,3,1,mo_ban
LKD000853,SP0056,2026-01-25,4,0,4,mo_ban
LKD000854,SP0056,2026-01-30,4,2,2,mo_ban
LKD000855,SP0056,2026-02-04,4,3,1,mo_ban
LKD000856,SP0056,2026-02-09,4,4,0,het_cho
LKD000857,SP0056,2026-02-14,4,4,0,het_cho
LKD000858,SP0056,2026-02-19,4,0,4,mo_ban
LKD000859,SP0056,2026-02-24,4,1,3,mo_ban
LKD000860,SP0056,2026-03-01,4,0,4,mo_ban
LKD000861,SP0057,2026-01-05,15,0,15,mo_ban
LKD000862,SP0057,2026-01-08,15,13,2,mo_ban
LKD000863,SP0057,2026-01-11,15,9,6,mo_ban
LKD000864,SP0057,2026-01-14,15,7,8,mo_ban
LKD000865,SP0057,2026-01-17,15,1,14,mo_ban
LKD000866,SP0057,2026-01-20,15,11,4,mo_ban
LKD000867,SP0057,2026-01-23,15,14,1,mo_ban
LKD000868,SP0057,2026-01-26,15,11,4,mo_ban
LKD000869,SP0057,2026-01-29,15,6,9,mo_ban
LKD000870,SP0057,2026-02-01,15,14,1,mo_ban
LKD000871,SP0057,2026-02-04,15,3,12,mo_ban
LKD000872,SP0057,2026-02-07,15,3,12,mo_ban
LKD000873,SP0057,2026-02-10,15,8,7,mo_ban
LKD000874,SP0057,2026-02-13,15,4,11,mo_ban
LKD000875,SP0057,2026-02-16,15,5,10,mo_ban
LKD000876,SP0057,2026-02-19,15,6,9,mo_ban
LKD000877,SP0057,2026-02-22,15,6,9,mo_ban
LKD000878,SP0057,2026-02-25,15,14,1,mo_ban
LKD000879,SP0057,2026-02-28,15,4,11,mo_ban
LKD000880,SP0057,2026-03-03,15,6,9,mo_ban
LKD000881,SP0058,2026-01-05,16,16,0,het_cho
LKD000882,SP0058,2026-01-09,16,10,6,mo_ban
LKD000883,SP0058,2026-01-13,16,14,2,mo_ban
LKD000884,SP0058,2026-01-17,16,7,9,mo_ban
LKD000885,SP0058,2026-01-21,16,1,15,mo_ban
LKD000886,SP0058,2026-01-25,16,2,14,mo_ban
LKD000887,SP0058,2026-01-29,16,13,3,mo_ban
LKD000888,SP0058,2026-02-02,16,3,13,mo_ban
LKD000889,SP0058,2026-02-06,16,3,13,mo_ban
LKD000890,SP0058,2026-02-10,16,0,16,mo_ban
LKD000891,SP0058,2026-02-14,16,12,4,mo_ban
LKD000892,SP0058,2026-02-18,16,0,16,mo_ban
LKD000893,SP0058,2026-02-22,16,14,2,mo_ban
LKD000894,SP0058,2026-02-26,16,3,13,mo_ban
LKD000895,SP0058,2026-03-02,16,2,14,mo_ban
LKD000896,SP0059,2026-01-05,6,1,5,mo_ban
LKD000897,SP0059,2026-01-09,6,1,5,mo_ban
LKD000898,SP0059,2026-01-13,6,3,3,mo_ban
LKD000899,SP0059,2026-01-17,6,1,5,mo_ban
LKD000900,SP0059,2026-01-21,6,3,3,mo_ban
LKD000901,SP0059,2026-01-25,6,6,0,het_cho
LKD000902,SP0059,2026-01-29,6,2,4,mo_ban
LKD000903,SP0059,2026-02-02,6,3,3,mo_ban
LKD000904,SP0059,2026-02-06,6,1,5,mo_ban
LKD000905,SP0059,2026-02-10,6,0,6,mo_ban
LKD000906,SP0059,2026-02-14,6,0,6,mo_ban
LKD000907,SP0059,2026-02-18,6,5,1,mo_ban
LKD000908,SP0059,2026-02-22,6,3,3,mo_ban
LKD000909,SP0059,2026-02-26,6,3,3,mo_ban
LKD000910,SP0059,2026-03-02,6,6,0,het_cho
LKD000911,SP0060,2026-01-05,10,5,5,mo_ban
LKD000912,SP0060,2026-01-09,10,1,9,mo_ban
LKD000913,SP0060,2026-01-13,10,8,2,mo_ban
LKD000914,SP0060,2026-01-17,10,3,7,mo_ban
LKD000915,SP0060,2026-01-21,10,0,10,mo_ban
LKD000916,SP0060,2026-01-25,10,5,5,mo_ban
LKD000917,SP0060,2026-01-29,10,10,0,het_cho
LKD000918,SP0060,2026-02-02,10,3,7,mo_ban
LKD000919,SP0060,2026-02-06,10,0,10,mo_ban
LKD000920,SP0060,2026-02-10,10,0,10,mo_ban
LKD000921,SP0060,2026-02-14,10,0,10,mo_ban
LKD000922,SP0060,2026-02-18,10,9,1,mo_ban
LKD000923,SP0060,2026-02-22,10,3,7,mo_ban
LKD000924,SP0060,2026-02-26,10,9,1,mo_ban
LKD000925,SP0060,2026-03-02,10,2,8,mo_ban
LKD000926,SP0061,2026-01-05,100,53,47,mo_ban
LKD000927,SP0061,2026-01-09,100,35,65,mo_ban
LKD000928,SP0061,2026-01-13,100,27,73,mo_ban
LKD000929,SP0061,2026-01-17,100,59,41,mo_ban
LKD000930,SP0061,2026-01-21,100,85,15,mo_ban
