ma_gia_mua,ma_san_pham,mua,he_so_gia,gia_ap_dung
GM00506,SP0127,Hè (T4–T6),1.35,202000
GM00507,SP0127,Thu (T7–T9),1.0,150000
GM00508,SP0127,Đông (T10–T12),0.85,128000
GM00509,SP0128,Xuân (T1–T3),1.15,598000
GM00510,SP0128,Hè (T4–T6),1.35,702000
GM00511,SP0128,Thu (T7–T9),1.0,520000
GM00512,SP0128,Đông (T10–T12),0.85,442000
GM00513,SP0129,Xuân (T1–T3),1.15,57000
GM00514,SP0129,Hè (T4–T6),1.35,68000
GM00515,SP0129,Thu (T7–T9),1.0,50000
GM00516,SP0129,Đông (T10–T12),0.85,42000
GM00517,SP0130,Xuân (T1–T3),1.15,7475000
GM00518,SP0130,Hè (T4–T6),1.35,8775000
GM00519,SP0130,Thu (T7–T9),1.0,6500000
GM00520,SP0130,Đông (T10–T12),0.85,5525000
GM00521,SP0131,Xuân (T1–T3),1.15,977000
GM00522,SP0131,Hè (T4–T6),1.35,1148000
GM00523,SP0131,Thu (T7–T9),1.0,850000
GM00524,SP0131,Đông (T10–T12),0.85,722000
GM00525,SP0132,Xuân (T1–T3),1.15,299000
GM00526,SP0132,Hè (T4–T6),1.35,351000
GM00527,SP0132,Thu (T7–T9),1.0,260000
GM00528,SP0132,Đông (T10–T12),0.85,221000
GM00529,SP0133,Xuân (T1–T3),1.15,552000
GM00530,SP0133,Hè (T4–T6),1.35,648000
GM00531,SP0133,Thu (T7–T9),1.0,480000
GM00532,SP0133,Đông (T10–T12),0.85,408000
GM00533,SP0134,Xuân (T1–T3),1.15,862000
GM00534,SP0134,Hè (T4–T6),1.35,1013000
GM00535,SP0134,Thu (T7–T9),1.0,750000
GM00536,SP0134,Đông (T10–T12),0.85,638000
GM00537,SP0135,Xuân (T1–T3),1.15,598000
GM00538,SP0135,Hè (T4–T6),1.35,702000
GM00539,SP0135,Thu (T7–T9),1.0,520000
GM00540,SP0135,Đông (T10–T12),0.85,442000
GM00541,SP0136,Xuân (T1–T3),1.15,1127000
GM00542,SP0136,Hè (T4–T6),1.35,1323000
GM00543,SP0136,Thu (T7–T9),1.0,980000
GM00544,SP0136,Đông (T10–T12),0.85,833000
GM00545,SP0137,Xuân (T1–T3),1.15,207000
GM00546,SP0137,Hè (T4–T6),1.35,243000
GM00547,SP0137,Thu (T7–T9),1.0,180000
GM00548,SP0137,Đông (T10–T12),0.85,153000
GM00549,SP0138,Xuân (T1–T3),1.15,57000
GM00550,SP0138,Hè (T4–T6),1.35,68000
GM00551,SP0138,Thu (T7–T9),1.0,50000
GM00552,SP0138,Đông (T10–T12),0.85,42000
GM00553,SP0139,Xuân (T1–T3),1.15,7475000
GM00554,SP0139,Hè (T4–T6),1.35,8775000
GM00555,SP0139,Thu (T7–T9),1.0,6500000
GM00556,SP0139,Đông (T10–T12),0.85,5525000
GM00557,SP0140,Xuân (T1–T3),1.15,7475000
GM00558,SP0140,Hè (T4–T6),1.35,8775000
GM00559,SP0140,Thu (T7–T9),1.0,6500000
GM00560,SP0140,Đông (T10–T12),0.85,5525000
